iter	Passed	Remaining
0	1	118
1	2	108
2	3	105
3	4	97
4	5	97
5	6	96
6	7	95
7	8	95
8	9	94
9	10	93
10	11	92
11	12	91
12	13	90
13	14	89
14	15	88
15	16	87
16	17	85
17	18	84
18	19	83
19	20	82
20	21	81
21	22	80
22	23	78
23	24	78
24	25	76
25	26	76
26	27	74
27	28	73
28	29	72
29	30	71
30	31	70
31	33	70
32	34	69
33	35	68
34	36	68
35	37	66
36	38	66
37	39	65
38	40	64
39	42	63
40	43	62
41	43	60
42	44	59
43	46	58
44	47	57
45	48	56
46	49	55
47	50	54
48	51	53
49	52	52
50	53	51
51	54	50
52	55	49
53	56	47
54	56	46
55	58	45
56	59	44
57	60	43
58	61	42
59	62	41
60	63	40
61	64	39
62	65	38
63	66	37
64	67	36
65	68	35
66	69	34
67	70	33
68	71	32
69	72	31
70	73	30
71	74	29
72	75	28
73	77	27
74	78	26
75	79	24
76	80	23
77	81	22
78	82	21
79	83	20
80	84	19
81	85	18
82	86	17
83	87	16
84	88	15
85	89	14
86	90	13
87	91	12
88	92	11
89	93	10
90	94	9
91	95	8
92	96	7
93	97	6
94	98	5
95	99	4
96	100	3
97	101	2
98	102	1
99	104	0
