iter	Passed	Remaining
0	144	144044
1	146	72890
2	147	49059
3	148	36992
4	149	29742
5	150	24931
6	151	21492
7	152	18897
8	153	16886
9	154	15275
10	155	13959
11	156	12886
12	157	11967
13	158	11171
14	160	10521
15	161	9946
16	162	9407
17	163	8928
18	164	8503
19	165	8122
20	166	7773
21	167	7450
22	168	7158
23	169	6885
24	170	6635
25	170	6405
26	171	6193
27	172	5997
28	173	5812
29	175	5659
30	176	5509
31	177	5359
32	178	5218
33	179	5087
34	179	4959
35	180	4841
36	181	4730
37	182	4628
38	183	4531
39	184	4435
40	185	4346
41	186	4262
42	187	4181
43	189	4113
44	191	4056
45	192	3986
46	193	3916
47	194	3849
48	194	3783
49	195	3718
50	196	3657
51	197	3600
52	198	3545
53	199	3490
54	200	3438
55	200	3387
56	201	3337
57	202	3290
58	203	3245
59	204	3209
60	205	3170
61	206	3130
62	207	3089
63	208	3049
64	209	3010
65	210	2972
66	210	2936
67	211	2901
68	212	2866
69	213	2833
70	214	2801
71	214	2770
72	215	2740
73	216	2710
74	217	2680
75	218	2653
76	219	2630
77	220	2605
78	221	2579
79	222	2553
80	222	2528
81	223	2503
82	224	2475
83	224	2452
84	225	2429
85	226	2407
86	227	2385
87	228	2363
88	228	2343
89	229	2322
90	230	2301
91	231	2282
92	232	2263
93	232	2245
94	234	2230
95	235	2214
96	235	2196
97	236	2178
98	237	2161
99	238	2144
100	238	2127
101	239	2111
102	240	2095
103	241	2079
104	242	2064
105	242	2049
106	243	2034
107	244	2020
108	245	2006
109	246	1992
110	247	1978
111	247	1965
112	249	1954
113	249	1941
114	250	1928
115	251	1916
116	252	1902
117	252	1890
118	253	1878
119	254	1866
120	255	1854
121	255	1841
122	256	1830
123	257	1819
124	258	1808
125	259	1798
126	259	1786
127	260	1776
128	261	1765
129	262	1755
130	263	1746
131	264	1739
132	265	1729
133	266	1719
134	266	1709
135	267	1699
136	268	1690
137	269	1681
138	270	1672
139	270	1663
140	271	1654
141	272	1644
142	272	1635
143	273	1626
144	274	1618
145	275	1610
146	276	1602
147	276	1594
148	277	1587
149	279	1581
150	279	1574
151	280	1566
152	281	1558
153	282	1551
154	283	1544
155	284	1536
156	284	1529
157	285	1522
158	286	1515
159	287	1508
160	287	1500
161	288	1493
162	289	1486
163	290	1479
164	291	1472
165	291	1466
166	292	1460
167	293	1455
168	294	1449
169	295	1442
170	296	1436
171	297	1430
172	297	1424
173	298	1418
174	299	1412
175	300	1406
176	301	1400
177	302	1395
178	302	1389
179	303	1383
180	304	1377
181	305	1371
182	305	1366
183	306	1360
184	307	1356
185	308	1352
186	309	1346
187	310	1341
188	311	1336
189	312	1330
190	312	1325
191	313	1320
192	314	1315
193	315	1310
194	316	1305
195	317	1301
196	318	1297
197	319	1294
198	320	1291
199	322	1289
200	323	1286
201	324	1283
202	325	1278
203	326	1274
204	327	1269
205	328	1265
206	329	1260
207	329	1255
208	330	1251
209	331	1247
210	332	1242
211	333	1238
212	333	1233
213	334	1229
214	335	1225
215	336	1220
216	337	1217
217	338	1213
218	339	1209
219	339	1204
220	340	1200
221	341	1196
222	342	1192
223	342	1188
224	343	1184
225	344	1179
226	345	1175
227	346	1171
228	346	1167
229	347	1163
230	348	1159
231	349	1156
232	350	1152
233	350	1148
234	351	1145
235	353	1142
236	353	1138
237	354	1135
238	355	1131
239	356	1127
240	356	1123
241	357	1120
242	358	1116
243	359	1113
244	360	1109
245	360	1106
246	361	1102
247	362	1099
248	363	1095
249	364	1092
250	364	1088
251	365	1085
252	366	1082
253	367	1079
254	368	1075
255	369	1072
256	369	1069
257	370	1065
258	371	1062
259	372	1059
260	372	1056
261	373	1052
262	374	1049
263	375	1046
264	376	1043
265	376	1040
266	377	1037
267	378	1033
268	379	1030
269	380	1027
270	381	1025
271	382	1022
272	382	1019
273	383	1016
274	384	1013
275	385	1010
276	386	1007
277	386	1004
278	387	1001
279	388	999
280	389	996
281	390	993
282	390	990
283	391	987
284	392	984
285	393	981
286	393	978
287	394	975
288	395	973
289	396	971
290	397	969
291	398	966
292	399	963
293	400	960
294	400	958
295	401	955
296	402	952
297	403	950
298	404	947
299	404	944
300	405	942
301	406	939
302	407	937
303	408	934
304	408	931
305	409	929
306	410	927
307	411	925
308	412	922
309	413	920
310	414	917
311	414	914
312	415	912
313	416	909
314	417	907
315	418	905
316	419	902
317	419	900
318	420	897
319	421	895
320	422	892
321	422	890
322	423	888
323	424	885
324	425	883
325	426	882
326	427	879
327	428	877
328	428	874
329	429	872
330	430	870
331	431	868
332	432	865
333	433	863
334	433	861
335	434	859
336	435	856
337	436	854
338	437	852
339	437	850
340	438	847
341	439	846
342	441	845
343	442	843
344	443	841
345	443	838
346	444	836
347	445	834
348	446	832
349	446	830
350	447	827
351	448	825
352	449	823
353	450	821
354	450	819
355	451	817
356	452	815
357	453	813
358	454	812
359	456	811
360	457	809
361	458	808
362	459	806
363	460	804
364	461	802
365	461	800
366	462	798
367	463	796
368	464	794
369	465	792
370	466	790
371	467	788
372	467	786
373	468	784
374	470	783
375	471	782
376	472	780
377	473	778
378	474	776
379	474	774
380	475	772
381	476	770
382	477	769
383	478	767
384	479	765
385	479	763
386	480	761
387	481	759
388	482	757
389	483	756
390	484	755
391	486	753
392	486	751
393	487	750
394	488	748
395	489	746
396	490	744
397	491	742
398	491	740
399	492	738
400	493	737
401	494	735
402	495	733
403	496	732
404	497	730
405	498	729
406	499	728
407	500	726
408	501	724
409	502	723
410	503	721
411	504	719
412	505	718
413	506	716
414	507	715
415	508	713
416	509	712
417	510	710
418	511	708
419	512	707
420	513	705
421	514	704
422	515	702
423	516	701
424	517	699
425	517	697
426	518	696
427	519	694
428	520	692
429	521	690
430	522	689
431	522	687
432	523	686
433	524	684
434	525	682
435	526	681
436	527	679
437	528	677
438	529	676
439	530	675
440	531	673
441	532	671
442	532	669
443	533	668
444	534	666
445	535	664
446	535	663
447	536	661
448	537	659
449	538	658
450	539	656
451	539	654
452	540	653
453	541	651
454	542	649
455	543	648
456	544	647
457	545	645
458	546	643
459	546	642
460	547	640
461	548	638
462	549	637
463	550	635
464	550	633
465	551	632
466	552	630
467	553	629
468	554	627
469	554	625
470	555	624
471	556	622
472	557	620
473	558	619
474	559	617
475	559	616
476	560	614
477	561	613
478	562	611
479	563	610
480	563	608
481	564	606
482	565	605
483	566	603
484	567	602
485	567	600
486	568	599
487	569	597
488	570	596
489	571	594
490	572	592
491	572	591
492	574	590
493	574	588
494	575	587
495	576	585
496	577	584
497	578	582
498	578	581
499	579	579
500	580	578
501	581	576
502	582	575
503	582	573
504	583	572
505	584	570
506	585	569
507	586	567
508	586	566
509	587	564
510	588	563
511	589	562
512	590	560
513	591	559
514	592	557
515	592	556
516	593	554
517	594	553
518	595	552
519	596	550
520	597	549
521	598	547
522	598	546
523	599	544
524	600	543
525	601	541
526	601	540
527	602	538
528	603	537
529	604	536
530	605	534
531	606	533
532	607	531
533	607	530
534	608	529
535	609	527
536	610	526
537	611	524
538	611	523
539	612	521
540	613	520
541	614	519
542	615	517
543	615	516
544	616	514
545	617	513
546	618	512
547	619	511
548	620	509
549	621	508
550	622	506
551	622	505
552	623	504
553	624	502
554	625	501
555	626	500
556	626	498
557	627	497
558	628	495
559	629	494
560	629	492
561	630	491
562	631	490
563	632	488
564	633	487
565	634	486
566	635	485
567	635	483
568	636	482
569	637	480
570	638	479
571	639	478
572	639	476
573	640	475
574	641	474
575	642	472
576	643	471
577	643	470
578	644	468
579	645	467
580	646	466
581	647	465
582	648	463
583	649	462
584	650	461
585	651	459
586	651	458
587	652	457
588	653	455
589	654	454
590	655	453
591	655	451
592	656	450
593	657	449
594	658	447
595	658	446
596	659	445
597	660	443
598	661	442
599	662	441
600	663	440
601	664	439
602	665	437
603	665	436
604	666	435
605	667	433
606	668	432
607	668	431
608	669	430
609	670	428
610	671	427
611	672	426
612	672	424
613	673	423
614	674	422
615	675	421
616	677	420
617	678	419
618	679	418
619	680	417
620	681	415
621	682	414
622	683	413
623	684	412
624	685	411
625	685	409
626	686	408
627	687	407
628	688	406
629	689	404
630	689	403
631	690	402
632	691	401
633	692	400
634	693	398
635	694	397
636	695	396
637	695	394
638	696	393
639	697	392
640	698	391
641	699	389
642	699	388
643	700	387
644	701	386
645	702	384
646	703	383
647	703	382
648	704	381
649	705	379
650	706	378
651	707	377
652	708	376
653	709	375
654	710	374
655	710	372
656	711	371
657	712	370
658	713	369
659	714	367
660	714	366
661	715	365
662	716	364
663	717	363
664	718	361
665	719	360
666	719	359
667	720	358
668	722	357
669	722	356
670	723	354
671	724	353
672	725	352
673	726	351
674	726	350
675	727	348
676	728	347
677	729	346
678	730	345
679	730	343
680	731	342
681	732	341
682	733	340
683	734	339
684	735	337
685	736	336
686	737	335
687	738	334
688	738	333
689	739	332
690	740	331
691	741	329
692	741	328
693	742	327
694	743	326
695	744	325
696	745	323
697	745	322
698	746	321
699	747	320
700	748	319
701	749	318
702	750	316
703	751	315
704	752	314
705	753	313
706	753	312
707	754	311
708	755	310
709	756	308
710	756	307
711	757	306
712	758	305
713	759	304
714	760	302
715	760	301
716	761	300
717	762	299
718	763	298
719	764	297
720	764	295
721	766	295
722	767	293
723	767	292
724	768	291
725	769	290
726	770	289
727	771	288
728	771	286
729	772	285
730	773	284
731	774	283
732	775	282
733	775	281
734	776	279
735	777	278
736	778	277
737	778	276
738	779	275
739	780	274
740	781	273
741	782	272
742	783	270
743	783	269
744	784	268
745	785	267
746	786	266
747	787	265
748	787	264
749	788	262
750	789	261
751	790	260
752	791	259
753	791	258
754	792	257
755	793	256
756	794	254
757	795	253
758	796	252
759	797	251
760	797	250
761	798	249
762	799	248
763	800	247
764	801	246
765	802	245
766	802	243
767	803	242
768	804	241
769	805	240
770	806	239
771	807	238
772	808	237
773	809	236
774	810	235
775	811	234
776	812	233
777	813	232
778	813	230
779	814	229
780	815	228
781	816	227
782	817	226
783	818	225
784	819	224
785	819	223
786	820	222
787	821	221
788	822	219
789	823	218
790	823	217
791	824	216
792	825	215
793	826	214
794	827	213
795	828	212
796	829	211
797	829	210
798	830	208
799	831	207
800	832	206
801	833	205
802	833	204
803	834	203
804	835	202
805	836	201
806	837	200
807	837	199
808	838	198
809	839	196
810	840	195
811	841	194
812	842	193
813	843	192
814	844	191
815	844	190
816	845	189
817	846	188
818	847	187
819	848	186
820	848	185
821	849	184
822	850	182
823	851	181
824	852	180
825	852	179
826	853	178
827	855	177
828	856	176
829	857	175
830	857	174
831	858	173
832	859	172
833	860	171
834	860	170
835	861	169
836	862	167
837	863	166
838	864	165
839	864	164
840	865	163
841	866	162
842	867	161
843	867	160
844	868	159
845	870	158
846	870	157
847	871	156
848	872	155
849	873	154
850	874	153
851	874	151
852	875	150
853	876	149
854	877	148
855	878	147
856	879	146
857	879	145
858	880	144
859	881	143
860	882	142
861	883	141
862	884	140
863	885	139
864	886	138
865	887	137
866	888	136
867	889	135
868	890	134
869	891	133
870	891	132
871	892	131
872	893	130
873	894	129
874	895	127
875	896	126
876	897	125
877	898	124
878	899	123
879	901	122
880	901	121
881	902	120
882	903	119
883	904	118
884	905	117
885	906	116
886	907	115
887	907	114
888	908	113
889	909	112
890	910	111
891	911	110
892	912	109
893	913	108
894	914	107
895	915	106
896	916	105
897	917	104
898	918	103
899	918	102
900	919	101
901	920	100
902	921	98
903	922	97
904	922	96
905	923	95
906	924	94
907	925	93
908	926	92
909	926	91
910	927	90
911	929	89
912	930	88
913	930	87
914	931	86
915	932	85
916	933	84
917	934	83
918	934	82
919	935	81
920	936	80
921	937	79
922	938	78
923	939	77
924	939	76
925	940	75
926	941	74
927	942	73
928	943	72
929	944	71
930	945	70
931	946	69
932	947	68
933	947	66
934	948	65
935	949	64
936	950	63
937	950	62
938	951	61
939	952	60
940	953	59
941	954	58
942	954	57
943	955	56
944	956	55
945	957	54
946	958	53
947	959	52
948	960	51
949	961	50
950	961	49
951	962	48
952	963	47
953	964	46
954	965	45
955	965	44
956	966	43
957	967	42
958	968	41
959	969	40
960	969	39
961	970	38
962	971	37
963	972	36
964	973	35
965	974	34
966	975	33
967	976	32
968	976	31
969	977	30
970	978	29
971	979	28
972	980	27
973	981	26
974	981	25
975	982	24
976	983	23
977	984	22
978	985	21
979	985	20
980	986	19
981	987	18
982	988	17
983	989	16
984	990	15
985	991	14
986	992	13
987	992	12
988	993	11
989	994	10
990	995	9
991	995	8
992	996	7
993	997	6
994	998	5
995	999	4
996	1000	3
997	1000	2
998	1001	1
999	1002	0
